# Time, systemEnergy
0.000967,  2484.849247
0.000971,  2484.821301
0.000975,  2484.793426
0.000979,  2484.765622
0.000983,  2484.737888
0.000988,  2484.710223
0.000992,  2484.682627
0.000996,  2484.655101
0.001000,  2484.627643
0.001004,  2484.600253
0.001008,  2484.572931
0.001013,  2484.545677
0.001017,  2484.518490
0.001021,  2484.491369
0.001025,  2484.464315
0.001029,  2484.437327
0.001033,  2484.410405
0.001038,  2484.383548
0.001042,  2484.356756
0.001046,  2484.330029
0.001050,  2484.303366
0.001054,  2484.276767
0.001058,  2484.250232
0.001063,  2484.223761
0.001067,  2484.197352
0.001071,  2484.171007
0.001075,  2484.144724
0.001079,  2484.118503
0.001083,  2484.092344
0.001088,  2484.066246
0.001092,  2484.040210
0.001096,  2484.014235
0.001100,  2483.988321
0.001104,  2483.962466
0.001108,  2483.936673
0.001113,  2483.910938
0.001117,  2483.885264
0.001121,  2483.859648
0.001125,  2483.834092
0.001129,  2483.808594
0.001133,  2483.783155
0.001138,  2483.757774
0.001142,  2483.732451
0.001146,  2483.707186
0.001150,  2483.681978
0.001154,  2483.656827
0.001158,  2483.631732
0.001163,  2483.606695
0.001167,  2483.581714
0.001171,  2483.556788
0.001175,  2483.531919
0.001179,  2483.507105
0.001183,  2483.482347
0.001188,  2483.457644
0.001192,  2483.432995
0.001196,  2483.408401
0.001200,  2483.383862
0.001204,  2483.359377
0.001208,  2483.334945
0.001213,  2483.310568
0.001217,  2483.286243
0.001221,  2483.261972
0.001225,  2483.237754
0.001229,  2483.213589
0.001233,  2483.189476
0.001238,  2483.165415
0.001242,  2483.141407
0.001246,  2483.117450
0.001250,  2483.093546
0.001254,  2483.069692
0.001258,  2483.045890
0.001263,  2483.022139
0.001267,  2482.998438
0.001271,  2482.974789
0.001275,  2482.951189
0.001279,  2482.927640
0.001283,  2482.904141
0.001288,  2482.880691
0.001292,  2482.857292
0.001296,  2482.833941
0.001300,  2482.810640
0.001304,  2482.787387
0.001308,  2482.764184
0.001313,  2482.741029
0.001317,  2482.717922
0.001321,  2482.694864
0.001325,  2482.671854
0.001329,  2482.648891
0.001333,  2482.625976
0.001338,  2482.603109
0.001342,  2482.580289
0.001346,  2482.557516
0.001350,  2482.534790
0.001354,  2482.512111
0.001358,  2482.489478
0.001363,  2482.466891
0.001367,  2482.444351
0.001371,  2482.421857
0.001375,  2482.399408
0.001379,  2482.377006
0.001383,  2482.354648
0.001388,  2482.332337
0.001392,  2482.310070
0.001396,  2482.287848
0.001400,  2482.265671
0.001404,  2482.243539
0.001408,  2482.221451
0.001413,  2482.199408
0.001417,  2482.177408
0.001421,  2482.155453
0.001425,  2482.133541
0.001429,  2482.111674
0.001433,  2482.089849
0.001438,  2482.068068
0.001442,  2482.046331
0.001446,  2482.024636
0.001450,  2482.002984
0.001454,  2481.981375
0.001458,  2481.959809
0.001463,  2481.938284
0.001467,  2481.916803
0.001471,  2481.895363
0.001475,  2481.873965
0.001479,  2481.852609
0.001483,  2481.831295
0.001488,  2481.810023
0.001492,  2481.788791
0.001496,  2481.767601
0.001500,  2481.746452
0.001504,  2481.725344
0.001508,  2481.704277
0.001513,  2481.683251
0.001517,  2481.662265
0.001521,  2481.641319
0.001525,  2481.620414
0.001529,  2481.599549
0.001533,  2481.578724
0.001538,  2481.557938
0.001542,  2481.537192
0.001546,  2481.516486
0.001550,  2481.495820
0.001554,  2481.475192
0.001558,  2481.454604
0.001563,  2481.434055
0.001567,  2481.413544
0.001571,  2481.393073
0.001575,  2481.372640
0.001579,  2481.352246
0.001583,  2481.331890
0.001588,  2481.311572
0.001592,  2481.291292
0.001596,  2481.271051
0.001600,  2481.250847
0.001604,  2481.230681
0.001608,  2481.210552
0.001613,  2481.190461
