# Time,    neckLengthIntegrate,    neckLengthFormula
0.000000,    0.191477,    0.262260
0.000004,    0.190731,    0.262536
0.000008,    0.192584,    0.262775
0.000013,    0.192154,    0.263006
0.000017,    0.193266,    0.263219
0.000021,    0.193079,    0.263427
0.000025,    0.193812,    0.263622
0.000029,    0.193778,    0.263813
0.000033,    0.194298,    0.263994
0.000038,    0.194352,    0.264172
0.000042,    0.194742,    0.264342
0.000046,    0.194844,    0.264507
0.000050,    0.195153,    0.264667
0.000054,    0.195279,    0.264823
0.000058,    0.195533,    0.264973
0.000063,    0.195670,    0.265120
0.000067,    0.195887,    0.265262
0.000071,    0.196026,    0.265401
0.000075,    0.196216,    0.265536
0.000079,    0.196355,    0.265667
0.000083,    0.196524,    0.265795
0.000088,    0.196660,    0.265920
0.000092,    0.196814,    0.266042
0.000096,    0.196945,    0.266161
