# Time,       mechanicalVelocity,           shiftVelocity
0.000000,  0.000000,  0.000000
0.000004,  0.000057,  0.000079
0.000008,  0.000062,  0.000071
0.000013,  0.000058,  0.000068
0.000017,  0.000061,  0.000066
0.000021,  0.000059,  0.000064
0.000025,  0.000060,  0.000063
0.000029,  0.000059,  0.000062
0.000033,  0.000060,  0.000061
0.000038,  0.000060,  0.000060
0.000042,  0.000060,  0.000059
0.000046,  0.000060,  0.000058
0.000050,  0.000060,  0.000058
0.000054,  0.000060,  0.000057
0.000058,  0.000060,  0.000057
0.000063,  0.000060,  0.000056
0.000067,  0.000060,  0.000056
0.000071,  0.000060,  0.000055
0.000075,  0.000060,  0.000055
0.000079,  0.000060,  0.000054
0.000083,  0.000060,  0.000054
