# Time,    neckLengthIntegrate,    neckLengthFormula
0.000775,    0.208184,    0.301266
0.000779,    0.208222,    0.301318
0.000783,    0.208260,    0.301369
0.000788,    0.208298,    0.301421
0.000792,    0.208336,    0.301472
0.000796,    0.208374,    0.301524
0.000800,    0.208412,    0.301575
0.000804,    0.208450,    0.301626
0.000808,    0.208487,    0.301677
0.000813,    0.208525,    0.301729
0.000817,    0.208562,    0.301780
0.000821,    0.208600,    0.301831
0.000825,    0.208637,    0.301882
0.000829,    0.208674,    0.301933
0.000833,    0.208711,    0.301984
0.000838,    0.208747,    0.302035
0.000842,    0.208784,    0.302086
0.000846,    0.208821,    0.302137
0.000850,    0.208857,    0.302188
0.000854,    0.208894,    0.302239
0.000858,    0.208930,    0.302289
0.000863,    0.208966,    0.302340
0.000867,    0.209003,    0.302391
0.000871,    0.209039,    0.302441
0.000875,    0.209074,    0.302492
0.000879,    0.209110,    0.302542
0.000883,    0.209146,    0.302593
0.000888,    0.209182,    0.302643
0.000892,    0.209217,    0.302694
0.000896,    0.209253,    0.302744
0.000900,    0.209288,    0.302794
0.000904,    0.209323,    0.302845
0.000908,    0.209359,    0.302895
0.000913,    0.209394,    0.302945
0.000917,    0.209429,    0.302995
0.000921,    0.209464,    0.303045
0.000925,    0.209498,    0.303095
0.000929,    0.209533,    0.303145
0.000933,    0.209568,    0.303195
0.000938,    0.209602,    0.303245
0.000942,    0.209637,    0.303295
0.000946,    0.209671,    0.303345
0.000950,    0.209706,    0.303394
0.000954,    0.209740,    0.303444
0.000958,    0.209774,    0.303494
0.000963,    0.209808,    0.303544
0.000967,    0.209842,    0.303593
0.000971,    0.209876,    0.303643
0.000975,    0.209910,    0.303692
0.000979,    0.209943,    0.303742
0.000983,    0.209977,    0.303791
0.000988,    0.210011,    0.303840
0.000992,    0.210044,    0.303890
0.000996,    0.210078,    0.303939
0.001000,    0.210111,    0.303988
0.001004,    0.210144,    0.304037
0.001008,    0.210177,    0.304087
0.001013,    0.210210,    0.304136
0.001017,    0.210244,    0.304185
0.001021,    0.210276,    0.304234
0.001025,    0.210309,    0.304283
0.001029,    0.210342,    0.304332
0.001033,    0.210375,    0.304380
0.001038,    0.210407,    0.304429
0.001042,    0.210440,    0.304478
0.001046,    0.210473,    0.304527
0.001050,    0.210505,    0.304575
0.001054,    0.210537,    0.304624
0.001058,    0.210570,    0.304673
0.001063,    0.210602,    0.304721
0.001067,    0.210634,    0.304770
0.001071,    0.210666,    0.304818
0.001075,    0.210698,    0.304866
0.001079,    0.210730,    0.304915
0.001083,    0.210762,    0.304963
0.001088,    0.210794,    0.305011
0.001092,    0.210825,    0.305060
0.001096,    0.210857,    0.305108
0.001100,    0.210889,    0.305156
0.001104,    0.210920,    0.305204
0.001108,    0.210952,    0.305252
0.001113,    0.210983,    0.305300
0.001117,    0.211014,    0.305348
0.001121,    0.211045,    0.305396
0.001125,    0.211077,    0.305444
0.001129,    0.211108,    0.305491
0.001133,    0.211139,    0.305539
0.001138,    0.211170,    0.305587
0.001142,    0.211201,    0.305635
0.001146,    0.211232,    0.305682
0.001150,    0.211262,    0.305730
0.001154,    0.211293,    0.305777
0.001158,    0.211324,    0.305825
0.001163,    0.211354,    0.305872
0.001167,    0.211385,    0.305920
0.001171,    0.211415,    0.305967
0.001175,    0.211446,    0.306014
0.001179,    0.211476,    0.306061
0.001183,    0.211506,    0.306109
0.001188,    0.211536,    0.306156
0.001192,    0.211567,    0.306203
0.001196,    0.211597,    0.306250
0.001200,    0.211627,    0.306297
0.001204,    0.211657,    0.306344
0.001208,    0.211687,    0.306391
0.001213,    0.211717,    0.306438
0.001217,    0.211746,    0.306484
0.001221,    0.211776,    0.306531
0.001225,    0.211806,    0.306578
0.001229,    0.211835,    0.306624
0.001233,    0.211865,    0.306671
0.001238,    0.211894,    0.306718
0.001242,    0.211924,    0.306764
0.001246,    0.211953,    0.306811
0.001250,    0.211983,    0.306857
0.001254,    0.212012,    0.306904
0.001258,    0.212041,    0.306950
0.001263,    0.212070,    0.306996
0.001267,    0.212099,    0.307042
0.001271,    0.212128,    0.307089
0.001275,    0.212157,    0.307135
0.001279,    0.212186,    0.307181
